id,round,species,genome_size,exon_start_range,exon_end_range,noncoding_start_range,non_coding_end_range,active_te,te_mobilized,te_static,te_in_exons,te_in_noncoding,te_mobilize_prob
242,242,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1210000,0,176543,1033457,0.5
243,243,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1215000,0,177263,1037737,0.5
244,244,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1220000,0,177994,1042006,0.5
245,245,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1225000,0,178640,1046360,0.5
246,246,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1230000,0,179348,1050652,0.5
247,247,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1235000,0,180093,1054907,0.5
248,248,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1240000,0,180808,1059192,0.5
249,249,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1245000,0,181561,1063439,0.5
250,250,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1250000,0,182312,1067688,0.5
251,251,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1255000,0,183042,1071958,0.5
252,252,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1260000,0,183791,1076209,0.5
253,253,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1265000,0,184538,1080462,0.5
254,254,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1270000,0,185245,1084755,0.5
255,255,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1275000,0,185984,1089016,0.5
256,256,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1280000,0,186718,1093282,0.5
257,257,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1285000,0,187490,1097510,0.5
258,258,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1290000,0,188227,1101773,0.5
259,259,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1295000,0,188970,1106030,0.5
260,260,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1300000,0,189683,1110317,0.5
261,261,Abiotrophia_defectiva,2041839,0,297361,297362,2041839,10000,1305000,0,190395,1114605,0.5
